,id,sex,sizeCurrent,sizeGroup,ageGroup,ageString,breedString,colorDetails,vocalLevel,sheddingLevel,energyLevel,exerciseNeeds,isSpecialNeeds,isCurrentVaccinations,isDeclawed,isHousetrained,isKidsOk,adultSexesOk,obedienceTraining,ownerExperience,newPeopleReaction,pictureCount,videoCount,adoptedDate,availableDate,length_of_stay
41891,10802510,Female,5.869999885559082,Medium,Adult,9 Years,Domestic Short Hair (short coat),,,,,,,,,,,,,,,1,0,2016-12-30 00:00:00+00:00,2016-11-15 00:00:00+00:00,45.0
41892,10802663,Female,1.3600000143051147,,,6 Years 2 Months,Domestic Medium Hair,all white back with gray,,,,,,,,,,,,,,0,0,2016-11-19 00:00:00+00:00,2016-11-15 00:00:00+00:00,4.0
41894,10802714,Female,1.3799999952316284,Medium,Young,6 Years 2 Months,Domestic Medium Hair (medium coat),white with gray patches on back,,,,,,,,,,,,,,0,0,2016-12-07 00:00:00+00:00,2016-11-15 00:00:00+00:00,22.0
41895,10802723,Female,1.25,Medium,Young,6 Years 2 Months,Domestic Medium Hair (medium coat),"white with gray patches, tabby on head",,,,,,,,,,,,,,0,0,2016-11-22 00:00:00+00:00,2016-11-15 00:00:00+00:00,7.0
41903,10802822,Male,,,Young,6 Years 6 Months,Domestic Short Hair / Mixed (short coat),White with Yellow Spots,Quiet,,,Low,,,,True,,,,,Friendly,0,0,2016-11-18 00:00:00+00:00,2016-11-17 00:00:00+00:00,1.0
41905,10802828,Female,,Medium,Baby,6 Years 6 Months,Domestic Short Hair (short coat),,Some,,Moderate,Moderate,False,,False,True,,All,,,Friendly,1,0,2016-11-26 00:00:00+00:00,2016-11-19 00:00:00+00:00,7.0
41907,10802834,Female,,Medium,Adult,8 Years 3 Months,Domestic Short Hair (short coat),,,,Moderate,Moderate,False,,False,True,,All,,,,1,0,2017-01-17 00:00:00+00:00,2016-10-25 00:00:00+00:00,84.0
41911,10802858,Male,,Small,Young,9 Years 5 Months,Domestic Short Hair / Mixed (short coat),,,,,Not Required,False,True,False,True,True,All,,,Friendly,1,0,2016-12-17 00:00:00+00:00,2016-11-17 00:00:00+00:00,30.0
41915,10803098,Female,,Small,Young,9 Years 5 Months,Domestic Short Hair / Mixed (short coat),,,,,Not Required,False,True,False,True,True,All,,,Friendly,1,0,2016-12-17 00:00:00+00:00,2016-11-17 00:00:00+00:00,30.0
41919,10803232,Female,,Medium,Adult,9 Years 4 Months,Domestic Medium Hair (medium coat),,,Moderate,Moderate,Moderate,False,True,False,True,True,All,,,Friendly,2,0,2016-08-20 00:00:00+00:00,2016-08-01 00:00:00+00:00,19.0
41928,10803799,Female,,Small,Young,6 Years 3 Months,Domestic Medium Hair (short coat),Dilute Tortie,Quiet,,Moderate,,,,,,False,,,,Friendly,0,0,2017-03-10 00:00:00+00:00,2017-02-15 00:00:00+00:00,23.0
41938,10803879,Male,,Medium,Young,8 Years 1 Month,Domestic Medium Hair / Mixed (medium coat),,,,Moderate,Not Required,False,True,False,True,True,All,Has Basic Training,,Friendly,1,0,2016-12-07 00:00:00+00:00,2016-11-18 00:00:00+00:00,19.0
41953,10804126,Female,,Medium,Baby,8 Years 10 Months,Tuxedo / Domestic Short Hair / Mixed (short coat),Black and white,,Moderate,Moderate,Moderate,False,True,False,True,,All,,,Friendly,4,0,2017-01-11 00:00:00+00:00,2017-01-04 00:00:00+00:00,7.0
41954,10804150,Male,,Medium,Baby,8 Years 10 Months,Tuxedo / Domestic Short Hair / Mixed (short coat),Black and white,,Moderate,Moderate,Moderate,False,True,False,True,,All,,,Friendly,4,0,2017-01-11 00:00:00+00:00,2017-01-04 00:00:00+00:00,7.0
41961,10804274,Male,,Medium,Baby,6 Years 1 Month,Siamese / Domestic Short Hair / Mixed (short coat),Lilac Point,Some,Moderate,Moderate,Moderate,False,True,False,True,,All,,,Friendly,2,0,2017-01-17 00:00:00+00:00,2017-01-11 00:00:00+00:00,6.0
41964,10804285,Male,,Medium,Baby,6 Years 1 Month,Siamese / Domestic Medium Hair / Mixed (medium coat),Lilac Point,,Moderate,Moderate,Moderate,False,True,False,True,,All,,,Friendly,3,0,2017-01-17 00:00:00+00:00,2017-01-11 00:00:00+00:00,6.0
41992,10804609,Female,2.0,Small,Baby,9 Years 5 Months,Tortoiseshell / Domestic Short Hair / Mixed (short coat),,,,,,False,False,False,True,,,,,,7,0,2016-12-03 00:00:00+00:00,2016-11-15 00:00:00+00:00,18.0
41993,10804614,Female,2.0,Small,Baby,9 Years 5 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,False,False,True,,,,,,6,0,2016-12-03 00:00:00+00:00,2016-11-15 00:00:00+00:00,18.0
41994,10804616,Female,2.0,Small,Baby,9 Years 5 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,False,False,True,,,,,,6,0,2016-12-06 00:00:00+00:00,2016-11-15 00:00:00+00:00,21.0
41995,10804620,Male,2.0,Small,Baby,9 Years 5 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,,,,False,False,False,True,,,,,,4,0,2016-11-27 00:00:00+00:00,2016-11-15 00:00:00+00:00,12.0
41996,10804622,Male,2.0,Small,Baby,9 Years 5 Months,Domestic Medium Hair / Tabby / Mixed (medium coat),,,,,,False,False,False,True,,,,,,4,0,2016-12-31 00:00:00+00:00,2016-11-15 00:00:00+00:00,46.0
42037,10805070,Female,,,Adult,10 Years 6 Months,Domestic Short Hair / Tabby,Brown and black tabby with leather-like markings,Lots,Moderate,,,False,True,False,,,,,,Friendly,3,0,2016-12-04 00:00:00+00:00,2016-11-15 00:00:00+00:00,19.0
42054,10805311,Male,,Small,Young,6 Years 6 Months,Domestic Long Hair (long coat),Gray Tabby,,,,,False,True,False,True,True,,,,,1,0,2016-11-26 00:00:00+00:00,2016-11-18 00:00:00+00:00,8.0
42058,10805321,Male,,Small,Young,6 Years 6 Months,Domestic Long Hair (long coat),Gray Tabby,,,,,False,True,False,True,True,,,,,3,0,2016-11-26 00:00:00+00:00,2016-11-18 00:00:00+00:00,8.0
42066,10805451,Female,8.0,Small,Young,9 Years 5 Months,Domestic Short Hair / Mixed (short coat),,,,High,High,False,,False,True,True,All,,,Friendly,3,0,2017-09-03 00:00:00+00:00,2017-06-22 00:00:00+00:00,73.0
42093,10806012,Male,4.400000095367432,Large,Baby,6 Years 7 Months,Domestic Short Hair / Mixed (short coat),,Some,,Moderate,Moderate,False,,False,True,True,All,,,Friendly,1,0,2016-12-10 00:00:00+00:00,2016-11-19 00:00:00+00:00,21.0
42094,10806047,Male,2.5999999046325684,,Baby,7 Years 8 Months,Siamese (short coat),,,,,,False,True,False,True,True,,,,,1,0,2016-11-26 00:00:00+00:00,2016-11-26 00:00:00+00:00,0.0
42120,10806242,Female,12.0,Large,Adult,12 Years 1 Month,Domestic Long Hair / Mixed,,,,Low,Not Required,False,,,True,,,,,,4,0,2017-01-05 00:00:00+00:00,2016-11-18 00:00:00+00:00,48.0
42133,10806297,Male,,,Young,8 Years 1 Month,Domestic Short Hair / Mixed (short coat),Gray,,,,,False,True,,True,True,,,,,3,0,2016-11-25 00:00:00+00:00,2016-11-19 00:00:00+00:00,6.0
42134,10806344,Female,,,Young,8 Years 1 Month,Domestic Short Hair / Mixed (short coat),Gray,,,,,False,True,,True,True,,,,,4,0,2016-11-25 00:00:00+00:00,2016-11-19 00:00:00+00:00,6.0
42135,10806412,Female,10.0,,Senior,14 Years 5 Months,Himalayan (long coat),,,,,,False,True,True,True,True,,,,,3,0,2016-12-11 00:00:00+00:00,2016-12-08 00:00:00+00:00,3.0
42143,10806765,Female,9.0,Medium,Adult,11 Years 5 Months,Domestic Short Hair (short coat),torbie,Quiet,Moderate,Moderate,Low,True,True,False,True,True,All,,,Friendly,1,0,2016-12-24 00:00:00+00:00,2016-11-19 00:00:00+00:00,35.0
42164,10807259,Female,3.0,,Baby,7 Years 9 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,,,,,,4,0,2016-12-31 00:00:00+00:00,2016-12-06 00:00:00+00:00,25.0
42165,10807261,Male,4.0,,Baby,7 Years 9 Months,Domestic Short Hair (short coat),,,,,,False,True,,True,True,,,,,4,0,2016-12-31 00:00:00+00:00,2016-12-02 00:00:00+00:00,29.0
42167,10807270,Male,7.5,,Adult,9 Years 5 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,False,,,,,4,0,2018-03-03 00:00:00+00:00,2017-01-07 00:00:00+00:00,420.0
42168,10807286,Female,8.600000381469727,,Adult,12 Years 5 Months,Domestic Long Hair / Tortoiseshell (medium coat),,,,,,False,True,False,True,,,,,,4,0,2017-10-15 00:00:00+00:00,2016-12-02 00:00:00+00:00,317.0
42172,10807477,Female,5.5,Medium,Baby,9 Years,Dilute Tortoiseshell / Mixed,,,,Moderate,,False,True,False,True,True,,,,Friendly,5,0,2016-12-06 00:00:00+00:00,2016-11-17 00:00:00+00:00,19.0
42174,10807481,Female,2.5,Medium,Baby,8 Years 9 Months,Domestic Short Hair / Mixed,,,,Moderate,Not Required,False,True,False,True,True,All,,,Friendly,1,0,2016-11-19 00:00:00+00:00,2016-11-11 00:00:00+00:00,8.0
42225,10808330,Male,,,Young,6 Years 7 Months,Domestic Long Hair (long coat),gray,Quiet,,Moderate,Moderate,False,,False,True,True,All,,,Friendly,1,0,2016-11-19 00:00:00+00:00,2016-11-09 00:00:00+00:00,10.0
42229,10808460,Male,,Medium,Young,6 Years 7 Months,Domestic Short Hair (short coat),,Some,,Moderate,Moderate,False,,False,True,True,All,,,Friendly,6,1,2017-01-21 00:00:00+00:00,2016-12-21 00:00:00+00:00,31.0
42231,10808487,Male,,,,6 Years 3 Months,Domestic Short Hair,orange and white,,,,,,True,,,,,,,,0,0,2016-11-19 00:00:00+00:00,2016-11-19 00:00:00+00:00,0.0
42266,10808915,Male,6.0,Small,Young,8 Years 6 Months,Tabby,,,,,,False,True,,True,,,,,,4,0,2017-01-17 00:00:00+00:00,2016-11-20 00:00:00+00:00,58.0
42268,10808962,Male,2.0,Small,Baby,6 Years 2 Months,Domestic Short Hair (short coat),,,,,,False,True,False,True,True,,,,,7,0,2016-12-03 00:00:00+00:00,2016-12-03 00:00:00+00:00,0.0
42269,10808965,Female,2.0,Small,Baby,6 Years 2 Months,Russian Blue,,,,,,False,True,,True,True,,,,,7,0,2016-12-03 00:00:00+00:00,2016-12-03 00:00:00+00:00,0.0
42275,10809045,Female,2.0,Small,Baby,6 Years 2 Months,Domestic Long Hair / Mixed (medium coat),,Quiet,Moderate,Moderate,Low,False,True,False,True,True,All,Has Basic Training,,Friendly,4,0,2016-12-31 00:00:00+00:00,2016-12-16 00:00:00+00:00,15.0
